Country,X2008,X2009,X2010,X2011,X2012,X2013
Aruba,1635.18742443,1504.55104551,1521.96601942,1562.25546605,1562.05752212,1543.41164454
Angola,996.598639456,1513.66120219,1708.23529412,1357.58835759,1346.59090909,1909.23076923
Albania,1481.95669607,1177.08942139,812.414422638,742.405832321,514.258555133,584.529226461
Arab World,668.409610294,691.140274447,696.568793115,699.076130271,747.719102296,737.091129391
Argentina,1126.59574468,1038.99721448,1057.08920188,1062.22611744,1009.30732057,903.248967869
Armenia,682.795698925,655.652173913,671.052631579,643.799472296,508.826583593,438.191881919
Antigua and Barbuda,1255.63909774,1303.41880342,1295.65217391,1294.60580913,1291.49797571,1225.40983607
Australia,4867.34693878,4901.4571949,5365.11226252,5908.16149714,5690.64986737,5229.70855531
Austria,1109.9156599,993.678295481,953.463006726,975.708326091,887.996356259,911.538306533
Azerbaijan,366.251198466,542.288557214,618.75,960.307298335,1326.28398792,1229.10798122
Belgium,1829.16957432,1918.12179017,1864.73698859,1931.54523619,1887.83068783,1915.14836023
Bangladesh,126.338329764,355.805243446,343.234323432,664.516129032,856.0,878.378378378
Bulgaria,839.446366782,744.554800488,667.273027948,719.658659924,642.40941752,671.498985213
Bahrain,223.26497509,211.375691231,180.973895582,262.329174094,216.07541553,203.535959838
"The Bahamas",1473.00068353,1525.99849284,1575.91240876,1602.52600297,1640.64697609,1599.70674487
Bosnia and Herzegovina,2835.40372671,2421.22186495,1813.69863014,1841.83673469,1569.476082,1425.33081285
Belarus,6358.69565217,5926.31578947,5541.66666667,6439.65517241,8285.71428571,8430.65693431
Belize,1134.69387755,1103.44827586,1090.90909091,992.0,1075.81227437,1193.87755102
Bermuda,1632.57575758,1550.84745763,1905.17241379,2118.6440678,1931.03448276,1894.06779661
Bolivia,508.417508418,510.851419032,499.263622975,701.828410689,790.726817043,795.739348371
Brazil,1209.7029703,1173.46938776,1155.39624104,1257.13233941,1213.66919147,1207.81008085
Bhutan,1678.57142857,2217.39130435,1560.97560976,1151.51515152,885.714285714,1017.24137931
Canada,1061.1947264,989.260977315,1136.81484678,1248.22030723,1266.27508566,1064.25557565
Central Europe and the Baltics,854.170015637,773.132249846,718.882445645,761.304627709,681.903620366,696.414319569
Switzerland,2041.12453532,2009.28381963,2041.49281409,2418.56104992,2269.32056969,2229.50819672
Chile,936.162361624,851.449275362,864.691181721,876.952502391,876.195835678,889.821029083
China,831.872419838,837.975429975,901.01322219,925.878327921,951.702035513,1012.83985203
Cameroon,342.915811088,544.176706827,298.429319372,700.331125828,461.444308446,665.570175439
Colombia,1267.15580492,1290.18612521,2449.11032028,1861.41038198,2005.97701149,2079.98251748
Cabo Verde,1515.78947368,1216.02787456,1151.78571429,1023.36448598,977.178423237,1017.89264414
Costa Rica,1212.54188607,1040.56162246,1037.61904762,1083.48540146,1085.36064874,1165.15650741
Caribbean small states,1331.70901497,1291.12770997,1290.32258065,1265.77389353,1271.0217537,1273.24462415
Cuba,1013.3851468,865.696465696,884.722776227,931.175595238,928.596802842,928.596677271
Curacao,936.430317848,1029.97275204,1280.70175439,1384.61538462,1605.70071259,1764.1723356
Cyprus,1344.00998336,1155.53479682,1091.11826967,1150.08361204,1093.71196755,1249.48024948
Czech Republic,946.441907607,945.887961859,979.474648748,999.412317819,870.790300853,866.5037761
Germany,2145.9572416,1959.62014864,1828.01860465,1882.95622753,1697.83959751,1748.99350135
Djibouti,144.444444444,275.862068966,352.941176471,342.857142857,341.666666667,342.857142857
Dominica,938.271604938,1026.66666667,1220.77922078,1394.73684211,962.025316456,1051.28205128
Denmark,696.65039929,657.18965719,652.333028362,809.511698881,726.637451143,747.458221339
Dominican Republic,1046.73366834,1014.27855711,1009.21212121,1019.73989782,1027.1751041,1079.95735608
East Asia & Pacific (developing only),942.182145333,873.367950446,930.62479039,997.830173849,1041.9745465,1086.0642748
East Asia & Pacific (all income levels),1260.93766606,1217.77536274,1332.25615696,1467.73217857,1501.80737688,1529.96975892
Europe & Central Asia (developing only),589.6288447,576.101013088,558.860791308,590.121272131,579.6512042,591.480317685
Europe & Central Asia (all income levels),1102.64460902,1008.11093955,978.746502522,1050.12403494,981.560498779,1002.53359107
Ecuador,741.293532338,696.280991736,750.716332378,744.084136722,816.823899371,917.15542522
"Egypt",984.385165908,986.822225953,970.251227671,982.73138886,966.684530189,790.603880532
Euro area,1228.26699607,1119.99022915,1074.23558224,1148.77964089,1074.24031614,1102.30289711
Spain,1231.53587914,1144.98447622,1120.83072309,1204.12268366,1100.7413337,1114.52168609
Estonia,790.283790284,701.79698883,595.278246206,631.519699812,578.717201166,624.476987448
European Union,1209.12598617,1093.86785418,1058.30621597,1138.26618091,1064.81670391,1092.26917179
Fiji,1627.35042735,1269.37269373,1305.37974684,1414.81481481,1496.21785174,1475.68389058
France,855.600999773,766.726590589,722.99350917,808.816676885,769.214097362,779.737034676
"Micronesia",1038.46153846,458.333333333,533.333333333,628.571428571,578.947368421,571.428571429
United Kingdom,1535.56499237,1367.56622575,1440.04241032,1567.5970791,1561.71026569,1585.03641439
Georgia,391.472868217,358.0,362.696850394,378.809355067,353.432700994,355.341246291
Greece,1103.33145116,992.021454911,838.208835877,912.156815,857.906946771,903.348214286
Grenada,976.923076923,982.456140351,1018.18181818,991.525423729,1051.72413793,1034.48275862
Guatemala,874.263261297,976.293103448,1130.43478261,1102.04081633,1087.35632184,1111.19459053
High income,1392.08666396,1302.81768716,1333.6958783,1442.7777806,1410.66333849,1433.03928219
"Hong Kong SAR, China",1168.42773832,1198.80656977,1354.64276824,1486.33267611,1560.70677324,1658.93768754
Honduras,713.233601841,736.961722488,726.187717265,736.509758898,743.798882682,820.509849363
Heavily indebted poor countries (HIPC),735.290591487,680.074881017,639.412173685,711.629874981,802.473766813,834.559177622
Croatia,1348.06693595,1070.62341845,906.047634727,970.887478594,854.952261549,887.357371063
Hungary,854.663036079,774.232722455,693.480546793,706.243902439,599.43977591,615.644028103
Indonesia,1307.34680783,957.147375079,1087.81950593,1181.4379085,1176.40477374,1170.41581459
India,2358.88699602,2154.79876161,2508.6565097,2806.78395942,2788.08148373,2732.77841561
Ireland,1241.83902317,1176.51968285,1147.60302775,1248.49279161,1200.52980132,1154.72154964
Iceland,1754.98007968,1113.36032389,1149.28425358,1326.85512367,1285.2897474,1352.5
Israel,2141.91290824,2183.11072813,2077.77381377,2137.94326241,2140.67914068,2178.25793383
Italy,1140.94163898,969.911422558,918.213909137,983.716038943,928.300258844,968.262619487
Jamaica,1257.49858517,1130.52976516,1090.01040583,1055.32786885,1030.21148036,1032.8685259
Jordan,949.048002145,916.336764318,1043.49893035,1098.73737374,1230.89860644,1304.18250951
Japan,1650.22153036,1846.39175258,1783.30042968,2015.43656536,1937.90380474,1627.2674643
Kazakhstan,390.84397384,402.513586957,386.733416771,343.707713126,327.023091325,348.558668291
Kyrgyz Republic,308.568329718,215.208034433,247.953216374,177.787532924,201.995012469,190.182054616
Cambodia,602.352941176,676.688251619,666.267942584,783.483691881,743.024553571,687.648456057
St. Kitts and Nevis,859.375,892.47311828,918.367346939,921.568627451,913.461538462,943.925233645
"South Korea",1952.69191699,1699.79534408,1632.98476927,1778.25421133,1692.19030521,1584.01773982
Latin America & Caribbean (developing only),872.220379346,819.07675949,834.397150413,862.221063327,907.411748455,953.423968696
Laos,216.216216216,218.724778047,230.538922156,231.24300112,215.420560748,244.22310757
Lebanon,4738.93473368,3881.23644252,3702.0295203,4106.94864048,4996.33967789,5002.35478807
St. Lucia,1050.67567568,1064.74820144,1009.80392157,1028.84615385,1097.71986971,1109.71786834
Latin America & Caribbean (all income levels),940.762303074,894.06246635,908.714892095,935.348710123,965.425009152,992.121827948
Least developed countries: UN classification,715.135675067,720.004578168,719.606426503,765.255962536,824.097659232,857.758020074
Sri Lanka,1833.33333333,1683.03571429,1596.33027523,1660.04672897,1745.52683897,1965.49019608
Lower middle income,787.233845137,729.862774512,786.565601933,825.489870116,827.901780732,783.568188024
Low & middle income,849.310524118,812.541206119,844.100377575,882.385551312,898.099251661,911.580708648
Lesotho,102.389078498,87.2093023256,58.6854460094,72.864321608,108.747044917,90.0692840647
Lithuania,816.883923029,792.69202088,686.131386861,798.309859155,752.631578947,792.743538767
Luxembourg,5115.16533637,4897.28453365,5111.80124224,5545.97701149,4857.89473684,5102.64550265
Latvia,673.396674584,765.684051398,701.383831027,738.111185532,744.25087108,775.390625
"Macao SAR, China",1630.25447691,1773.2166891,2365.7554922,3016.17021277,3267.8795021,3667.36753574
Morocco,1127.68117781,956.719817768,880.275624462,974.202526226,905.706666667,816.344813856
Moldova,41857.1428571,34285.7142857,27750.0,28111.1111111,25363.6363636,27652.173913
Maldives,2282.57686676,2245.42682927,2162.87878788,2085.92910849,2036.53444676,2073.77777778
Middle East & North Africa (all income levels),751.052909665,773.13691977,775.227357472,780.626758501,803.793932999,784.501631277
Mexico,642.187431861,561.263760852,542.206955775,532.324915609,569.157800282,592.563454929
Middle income,865.142545704,827.000691907,859.866226238,899.235447452,913.40714718,926.594206942
"Macedonia",1027.45098039,895.752895753,797.709923664,740.06116208,675.213675214,675.0
Malta,1034.85670023,945.008460237,924.570575056,1038.16254417,1036.72903673,1021.49178255
Myanmar,109.439124487,98.2961992136,114.898989899,409.31372549,519.357884797,456.947162427
Middle East & North Africa (developing only),898.216296573,876.912299616,881.868146618,865.750402588,817.954704754,722.471050919
Montenegro,833.171677983,758.620689655,703.125,771.024146545,680.379746835,701.66163142
Mongolia,609.865470852,584.295612009,631.578947368,560.869565217,1008.40336134,545.454545455
Mozambique,178.541492037,148.528405202,130.384167637,139.85278654,136.772361571,144.750795334
Mauritius,1960.21505376,1595.86681975,1695.18716578,1873.57512953,1842.48704663,1606.24370594
Malaysia,841.329584618,728.706758014,738.57671807,795.055434167,808.972156753,817.655065137
United States of America,2431.1856046,2278.34993528,2444.06952564,2632.03955938,2664.3038218,2689.27408365
Namibia,519.871106337,521.428571429,569.105691057,628.042843233,554.21686747,445.578231293
Nicaragua,350.815850816,358.369098712,305.637982196,356.603773585,357.627118644,339.300244101
Netherlands,2031.17577197,1801.02812217,1717.35734632,1855.75221239,1729.36643836,1773.21442541
High income: nonOECD,963.213756055,969.100357901,1067.39583571,1202.09801214,1236.40194453,1294.57166124
Nepal,706.0,860.784313725,626.865671642,563.858695652,471.98007472,572.681704261
New Zealand,2935.89202868,2519.5954488,2678.85010267,2905.217045,2887.99029519,2851.27424876
High income: OECD,1511.22295042,1393.56202137,1410.54714078,1514.80481149,1462.8748595,1474.42730992
OECD members,1439.11350659,1326.43960839,1338.88702075,1433.27526132,1390.46281842,1404.55579732
Oman,804.22125182,717.948717949,871.012482663,1543.22200393,1238.52573018,1233.39780787
Other small states,940.599760315,805.553913839,856.031901811,892.093109466,834.336985416,821.682392267
Panama,1770.64955894,1900.0,1979.60725076,2464.35845214,2823.16313823,3087.45476478
Peru,1164.23712342,1140.18691589,1076.55502392,1083.1408776,1080.11243851,1240.51833123
Philippines,1049.06021026,966.523036129,977.556818182,1034.72044932,1161.47905453,1196.32557146
Palau,898.734177215,916.666666667,825.581395349,816.513761468,873.949579832,1066.66666667
Poland,990.509259259,827.838519765,800.801924619,868.764044944,797.911051213,789.620253165
Puerto Rico,951.291711518,997.800816839,1007.84682988,1031.167979,1040.4040404,1041.875
Portugal,2017.66733697,1912.56406274,1919.62699822,2048.73348018,1940.42383047,2003.33456836
Paraguay,299.065420561,512.528473804,522.580645161,498.091603053,502.590673575,490.163934426
Pacific island small states,1443.86647553,1219.6521558,1298.06694955,1404.03949731,1475.30162815,1494.9876205
Romania,296.208530806,222.706270627,217.524673246,265.142556826,239.511150309,237.31138546
Russia,668.229430647,579.642907353,594.183384947,680.29038986,634.418142457,655.949597298
Rwanda,441.814595661,444.22310757,444.444444444,433.139534884,413.496932515,406.25
South Asia,1945.32788287,1854.69166257,2045.01385817,2200.77965296,2209.99421078,2186.47014041
Saudi Arabia,459.104153961,618.885931908,694.562211982,532.460852669,588.400112076,649.476831091
Sudan,761.363636364,711.904761905,189.898989899,345.149253731,1342.60869565,1307.95262267
Singapore,1364.74672152,1231.97115385,1547.64763672,1740.71222329,1706.07316634,1601.56315657
Solomon Islands,1950.0,2147.54098361,2478.04878049,2877.72925764,2736.40167364,2852.45901639
Sierra Leone,944.444444444,675.675675676,666.666666667,846.153846154,783.333333333,814.814814815
El Salvador,513.357400722,503.208065995,561.739130435,615.709459459,717.131474104,821.51208106
Republic of Serbia,1753.86996904,1533.33333333,1392.38653001,1503.92670157,1337.03703704,1324.29501085
Sub-Saharan Africa (developing only),745.042020402,740.156164659,763.691072608,804.085256553,848.347036591,824.713179136
Sub-Saharan Africa (all income levels),781.466161357,774.960265536,798.092673761,839.672704839,883.610144895,860.294908398
Small states,1189.6961946,1075.14106511,1107.28201108,1125.90908286,1098.79737215,1090.12195327
Suriname,549.668874172,463.57615894,336.585365854,313.636363636,329.166666667,369.477911647
Slovenia,1508.68232891,1499.45175439,1455.85874799,1449.68090329,1317.71799629,1317.39707835
Sweden,2647.63995609,2061.64523372,2120.5865329,2464.76445806,2490.28371551,2660.16446739
Swaziland,34.7883597884,44.1629955947,59.2165898618,24.2320819113,34.0832395951,13.7396694215
Sint Maarten,1404.21052632,1406.81818182,1537.24604966,1719.33962264,1868.70897155,1865.09635974
Seychelles,2566.03773585,2208.86075949,2011.42857143,1958.7628866,1687.5,1730.43478261
Thailand,1542.58091059,1400.28268551,1494.03865462,1608.21632865,1688.28844949,1734.35793122
Tajikistan,72.9230769231,94.2028985507,202.5,217.486338798,247.540983607,273.557692308
Tunisia,554.468085106,510.650630343,503.694046067,528.526645768,492.605042017,456.691657362
Turkey,887.687969925,872.262894624,839.114908813,868.384602066,881.141800661,922.423601005
United Republic of Tanzania,1724.0,1715.10791367,1696.28647215,1640.56939502,1681.68744008,1824.08278457
Uganda,635.071090047,846.34448575,847.78012685,848.827106864,966.583124478,998.341625207
Ukraine,264.136115368,209.10664487,221.478092723,252.43987859,260.200756094,241.011714158
Upper middle income,898.672381586,867.08617769,892.013303147,929.066790562,949.027018962,986.321988779
Uruguay,616.615067079,710.462287105,709.307267318,840.392019601,823.376623377,749.534103615
Americas,2839.67452204,2649.61980291,2799.46675554,2986.72418459,3009.64639873,3078.37403967
St. Vincent and the Grenadines,1142.85714286,1173.33333333,1194.44444444,1243.24324324,1270.27027027,1277.77777778
Virgin Islands (U.S.),2015.67944251,1813.4991119,1716.94915254,2039.47368421,1987.93103448,2161.40350877
Vietnam,927.76203966,813.98452095,881.188118812,949.451280346,1000.29205607,994.453248811
Vanuatu,2065.93406593,2118.81188119,2494.84536082,2680.85106383,2666.66666667,2654.54545455
West Bank and Gaza,695.090439276,1035.35353535,1277.77777778,1770.6013363,1540.81632653,732.110091743
World,1187.066671,1114.2015402,1142.05371571,1227.14647803,1210.08981962,1229.61928862
Samoa,945.762711864,944.262295082,1013.93442623,1114.87603306,1176.19047619,1182.75862069
"Yemen",866.080156403,874.513618677,1132.68292683,940.892641737,970.251716247,949.494949495
South Africa,956.839032527,1238.44837422,1276.69061184,1283.96690251,1219.09011754,1097.61979658
"Democratic Republic of the Congo",14.0,452.830188679,132.098765432,61.2903225806,41.3173652695,4.18848167539
Zambia,182.266009852,138.028169014,153.374233129,158.695652174,180.442374854,244.808743169
Zimbabwe,150.306748466,259.295984135,283.162125949,274.040445728,417.502787068,461.538461538
